step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
214,42076,428,0.029260753883407396,0.5,0.8,,,,,,,,,
215,42190,430,0.036468683812490785,1.0,1.0,,,,,,,,,
216,42368,432,0.02733392620262116,1.0,1.0,,,,,,,,,
217,42482,434,0.04786376502787659,0.5,0.8,0.03727959516288138,0.5,0.8,,,,,,
218,42708,436,0.030473395168925378,0.5,0.8,,,,,,,,,
219,42854,438,0.03539437527209682,0.5,0.8,,,,,,,,,
220,43064,440,0.025128055189523085,0.5,0.8333333333333334,,,,,,,,,
221,43322,442,0.019786458351879904,1.0,1.0,,,,,,,,,
222,43564,444,0.025712145390631123,0.5,0.8,,,,,,,,,
223,43806,446,0.023415043775269928,1.0,1.0,,,,,,,,,
224,44016,448,0.03757777035148068,0.0,0.6666666666666666,,,,,,,,,
225,44242,450,0.02950386931191393,0.5,0.8,0.03191294122719812,0.5,0.8333333333333334,,,,,,
226,44484,452,0.0372563228640441,0.0,0.5,,,,,,,,,
227,44726,454,0.022778929796500355,1.0,1.0,,,,,,,,,
228,44936,456,0.034464025140542406,0.0,0.6666666666666666,,,,,,,,,
229,45082,458,0.030990705041552546,1.0,1.0,,,,,,,,,
230,45356,460,0.029183497058406564,0.5,0.8,,,,,,,,,
231,45566,462,0.02407043656417185,1.0,1.0,,,,,,,,,
232,45808,464,0.03144674350122265,0.0,0.6666666666666666,,,,,,,,,
233,46066,466,0.037579477277224674,0.5,0.8,0.03297938400607961,1.0,1.0,,,,,,
234,46308,468,0.03566866013516058,0.5,0.8,,,,,,,,,
235,46534,470,0.034243359965065404,1.0,1.0,,,,,,,,,
236,46744,472,0.03185438655589889,0.0,0.6666666666666666,,,,,,,,,
237,46986,474,0.030046740076409454,1.0,1.0,,,,,,,,,
238,47212,476,0.02718062800801233,1.0,1.0,,,,,,,,,
239,47358,478,0.04037995332760855,0.5,0.8,,,,,,,,,
240,47632,480,0.0214434950901571,1.0,1.0,,,,,,,,,
241,47810,482,0.02875584028427346,1.0,1.0,0.03748530175781646,0.5,0.8,,,,,,
242,47908,484,0.031147430373549317,1.0,1.0,,,,,,,,,
243,48166,486,0.028577313967114434,0.5,0.8,,,,,,,,,
244,48280,488,0.052515446906338324,0.5,0.8,,,,,,,,,
245,48394,490,0.07007046258566203,0.0,0.5,,,,,,,,,
246,48524,492,0.02173699586129942,1.0,1.0,,,,,,,,,
247,48750,494,0.02875922533660807,0.5,0.8,,,,,,,,,
248,48928,496,0.03496800494206251,0.5,0.8,,,,,,,,,
249,49202,498,0.020826338506722098,1.0,1.0,0.03823061700786898,0.5,0.8,,,,,,
250,49444,500,0.028820482128515023,0.5,0.8,,,,,,,,,
251,49638,502,0.033449856136502754,0.5,0.8,,,,,,,,,
252,49896,504,0.03144914040208619,0.0,0.6666666666666666,,,,,,,,,
253,50170,506,0.038245692362404354,0.0,0.6666666666666666,,,,,,,,,
254,50380,508,0.03296417395706018,0.5,0.8,,,,,,,,,
255,50606,510,0.026366365001653586,0.5,0.8333333333333334,,,,,,,,,
256,50720,512,0.0435880983032309,0.5,0.8,,,,,,,,,
257,50930,514,0.02999124519551025,0.5,0.8,0.03167321990265009,0.5,0.8,,,,,,
258,51060,516,0.05243950421402132,0.0,0.5,,,,,,,,,
259,51302,518,0.02635561320948909,0.5,0.8,,,,,,,,,
260,51512,520,0.03043624783834485,0.5,0.8,,,,,,,,,
261,51738,522,0.026749368079243663,0.5,0.75,,,,,,,,,
262,51884,524,0.030322198914659062,0.5,0.8,,,,,,,,,
263,52078,526,0.038142905913188474,0.0,0.6666666666666666,,,,,,,,,
264,52192,528,0.038350545871796524,0.5,0.8,,,,,,,,,
265,52434,530,0.03212123103752432,0.5,0.8,0.028700787169041828,0.5,0.8,,,,,,
266,52580,532,0.03506579436101068,0.5,0.8,,,,,,,,,
267,52774,534,0.03196413307026281,0.0,0.6666666666666666,,,,,,,,,
268,52936,536,0.03275560500299798,0.5,0.8333333333333334,,,,,,,,,
269,53130,538,0.029323633201582506,1.0,1.0,,,,,,,,,
270,53372,540,0.034247996892918915,0.0,0.5,,,,,,,,,
271,53502,542,0.029286671320637656,1.0,1.0,,,,,,,,,
272,53616,544,0.04825084502851106,0.5,0.8,,,,,,,,,
273,53826,546,0.027188970433314977,0.5,0.8,0.03253990307456171,0.5,0.8,,,,,,
274,54004,548,0.03564853612783487,0.5,0.8,,,,,,,,,
275,54118,550,0.03878960375480996,0.5,0.8,,,,,,,,,
276,54344,552,0.022362146873458968,1.0,1.0,,,,,,,,,
277,54474,554,0.03547219967434785,1.0,1.0,,,,,,,,,
278,54716,556,0.02636721925489777,1.0,1.0,,,,,,,,,
279,54942,558,0.03145874908613353,0.0,0.5,,,,,,,,,
280,55088,560,0.032011206657918796,0.5,0.8,,,,,,,,,
281,55314,562,0.027142268374190544,0.5,0.8,0.041851449538423485,0.0,0.5,,,,,,
282,55556,564,0.023883304061454814,1.0,1.0,,,,,,,,,
283,55750,566,0.026726753493186758,0.5,0.8333333333333334,,,,,,,,,
284,55880,568,0.032827180878501484,0.5,0.8,,,,,,,,,
285,56122,570,0.024026948823626902,0.5,0.8,,,,,,,,,
286,56284,572,0.03100012246891311,0.5,0.75,,,,,,,,,
287,56526,574,0.032979455388776543,0.0,0.6,,,,,,,,,
